start_date,end_date,salary,duration,student_id,high_perc,high_spec,mba_spec,second_perc,gender,degree_perc,placed,experience_years,employability_perc,mba_perc,work_experience,degree_type
2020-06-28,2020-04-21,38025.0,,128867032,75.25,Commerce,Mkt&Fin,81.01,F,79.78,True,1,51.05,77.89,False,Sci&Tech
,2021-01-27,30460.0,,684592517,73.18,Science,Mkt&Fin,65.58,M,79.36,True,3,75.02,58.34,True,Others
2020-01-08,2020-08-21,20000.0,12.0,487269146,54.62,Arts,Mkt&Fin,61.77,M,85.12,True,1,59.93,72.17,True,Others
2020-01-03,2020-09-27,,3.0,954254673,97.7,Science,Mkt&HR,69.0,M,81.24,False,1,94.51,73.34,True,Comm&Mgmt
2020-07-22,2020-08-02,27015.0,,499876085,64.57,Commerce,Mkt&HR,59.25,F,68.95,True,3,50.49,77.89,False,Comm&Mgmt
2020-07-27,,,6.0,699414926,79.08,Science,Mkt&Fin,55.27,F,73.87,False,1,62.88,55.33,False,Sci&Tech
2020-03-15,2020-07-08,31287.0,3.0,815337508,68.3,Science,Mkt&HR,72.61,M,68.32,True,1,50.46,68.74,False,Sci&Tech
2020-07-27,2020-08-22,30207.0,6.0,305633971,97.7,Commerce,Mkt&Fin,83.89,M,85.23,False,1,77.78,60.68,False,Sci&Tech
2020-04-17,2020-12-15,,,960779008,79.12,Science,Mkt&HR,66.85,M,58.13,False,1,78.15,52.41,False,Comm&Mgmt
2020-01-05,2020-07-26,27156.0,,706925865,67.36,Science,Mkt&HR,55.82,F,91.0,True,1,95.76,76.4,True,Comm&Mgmt
2020-01-02,2020-08-26,32768.0,,952488645,72.36,Arts,Mkt&HR,47.73,F,79.15,False,1,96.41,77.12,True,Comm&Mgmt
2020-01-05,2020-06-10,25566.0,3.0,314039328,49.84,Science,Mkt&Fin,48.99,M,83.24,True,1,92.49,74.9,True,Sci&Tech
2020-03-31,,24191.0,3.0,498914423,64.3,Science,Mkt&Fin,79.47,M,82.51,True,1,97.74,76.96,False,Comm&Mgmt
2020-01-11,2020-11-20,30117.0,3.0,910863295,44.72,Science,Mkt&Fin,79.6,M,81.42,True,1,92.38,71.18,True,Sci&Tech
,2020-08-30,,3.0,23531053,61.31,Commerce,Mkt&Fin,64.76,M,72.07,True,1,97.81,58.82,False,Sci&Tech
,2020-09-03,22212.0,3.0,841354710,66.36,Science,Mkt&HR,77.98,F,80.86,True,1,71.51,65.95,False,Comm&Mgmt
2020-01-11,2020-09-11,26029.0,,101001713,61.74,Science,Mkt&Fin,75.41,M,77.66,True,1,76.89,75.54,False,Comm&Mgmt
2020-07-21,2020-08-12,,,945107990,81.99,Commerce,Mkt&HR,50.2,F,86.87,True,1,94.26,66.44,False,Comm&Mgmt
,2020-08-28,,,936563520,97.57,Science,Mkt&Fin,82.94,F,54.77,False,1,57.9,69.24,False,Comm&Mgmt
,2020-04-14,20000.0,6.0,597035796,68.98,Science,Mkt&Fin,66.85,M,53.92,True,1,59.39,56.74,False,Sci&Tech
2020-01-06,2020-08-20,23335.0,,152950281,76.63,Arts,Mkt&Fin,58.8,M,75.08,False,1,92.54,75.74,False,Sci&Tech
2020-01-05,2020-09-06,22003.0,3.0,692971465,73.03,Commerce,Mkt&Fin,75.94,F,69.59,True,1,82.2,63.81,False,Comm&Mgmt
,2020-07-15,,3.0,493987192,54.42,Commerce,Mkt&Fin,55.42,F,73.36,True,1,58.9,66.51,False,Comm&Mgmt
2020-01-16,,29266.0,12.0,181258537,77.31,Science,Mkt&Fin,59.7,M,76.93,True,1,96.68,77.89,False,Sci&Tech
2020-03-26,,27280.0,3.0,977248258,82.82,Commerce,Mkt&Fin,63.27,M,77.19,False,1,75.33,76.69,True,Sci&Tech
